Commission_Period,Commission_Amount,Agent_Name,Agent_ID,Company,Plan_Name,Source
2024-06-01,10.42,A  Hudson Hall,87437285,Delta Care Corporation,Healthfirst Signature (HMO),Healthfirst
2024-06-01,25.5,A  Hudson Hall,87437285,Ethan Robbins,Healthfirst Signature (HMO),Healthfirst
2024-06-01,10.42,A  Moore DE Golden,48794987,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,A  Moore DE Golden,48794987,Chelsea Butler Good Leach Senior Services Corp,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,A  Mitchell De Reed Martin,81388552,Jerry Mcclure,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,A  Mitchell De Reed Martin,81388552,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,A  Butler,94417375,"Alexis Freeman Anderson DBA Nguyen, Shelton and Odonnell",Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,A  Butler,94417375,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,A  Baker DE Friedman,59882485,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,A  Baker DE Friedman,59882485,Elizabeth Roth,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,A  Kelly Roberts,86395879,Delta Care Corporation,Healthfirst Increased Benefits Plan (HMO),Healthfirst
2024-06-01,25.5,A  Kelly Roberts,86395879,Brittany L Smith,Healthfirst Increased Benefits Plan (HMO),Healthfirst
2024-06-01,25.5,A  Moyer Roberts,15612088,Patty S Jackson,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,A  Moyer Roberts,15612088,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,A  Fisher De Martinez,17944495,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,A  Fisher De Martinez,17944495,Kathy Jones,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,A  Oconnell Nelson Gardner,18187664,Samuel K Ochoa,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,A  Oconnell Nelson Gardner,18187664,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,A A Friedman De Curry,92839973,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,A A Friedman De Curry,92839973,Kathy Jones,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,A Nelson DE LA Evans,17385141,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,A Nelson DE LA Evans,17385141,Patrick De La Evans,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,305.5,A Ramos DE James,72020399,Jerry Mcclure,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,87.5,A Ramos DE James,72020399,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,A James Carroll,35769992,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,A James Carroll,35769992,Kevin V Parks,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,A Webb DE LA,16431271,Delta Care Corporation,Healthfirst CompleteCare (HMO SNP),Healthfirst
2024-06-01,25.5,A Webb DE LA,16431271,Chelsea Butler Good Leach Senior Services Corp,Healthfirst CompleteCare (HMO SNP),Healthfirst
2024-06-01,25.5,A M Parks DE Glenn,57600285,Samuel K Ochoa,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,A M Parks DE Glenn,57600285,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,A M Carpenter Mckinney,17252441,Jeffrey L Anderson,Healthfirst Increased Benefits Plan (HMO),Healthfirst
2024-06-01,10.42,A M Carpenter Mckinney,17252441,Delta Care Corporation,Healthfirst Increased Benefits Plan (HMO),Healthfirst
2024-06-01,10.42,A M Sanders Dickson DE DI,24449520,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,21.25,A M Sanders Dickson DE DI,24449520,Chelsea Butler Good Leach Senior Services Corp,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,A Martinez DE,61811479,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,21.25,A Martinez DE,61811479,Chelsea Butler Good Leach Senior Services Corp,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,A V Evans DE Turner,31484011,Delta Care Corporation,Healthfirst CompleteCare (HMO SNP),Healthfirst
2024-06-01,25.5,A V Evans DE Turner,31484011,Austin Davis,Healthfirst CompleteCare (HMO SNP),Healthfirst
2024-06-01,10.42,A V Friedman Barton,15485292,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,21.25,A V Friedman Barton,15485292,Chelsea Butler Good Leach Senior Services Corp,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Renee  Love,19002030,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Renee  Love,19002030,Laurie Lee,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Henry  Moore,77237725,James Gregory Martinez,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Henry  Moore,77237725,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Henry  Jose,48011379,Andrew Hill,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Henry  Jose,48011379,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Henry F Randolph JR,22158911,Delta Care Corporation,Healthfirst 65 Plus Plan (HMO),Healthfirst
2024-06-01,25.5,Henry F Randolph JR,22158911,Richard Mcclure,Healthfirst 65 Plus Plan (HMO),Healthfirst
2024-06-01,102.08,Alexandria S Collins,91988092,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,356.42,Alexandria S Collins,91988092,Aaron Hull,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,611.0,Nathan A Olson,11721376,Daniel A Holland Parks,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,175.0,Nathan A Olson,11721376,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,175.0,Susan  Gonzalez,63830976,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,611.0,Susan  Gonzalez,63830976,Laurie Lee,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Natalie  Bowers,71738538,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Natalie  Bowers,71738538,Javier Meyers,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Tara A Rivers,21888149,Diana Foster,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Tara A Rivers,21888149,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Michael  Wong,28503445,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Michael  Wong,28503445,Dillon Reese Parker,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Ryan  Dunlap,78837002,Delta Care Corporation,Healthfirst 65 Plus Plan (HMO),Healthfirst
2024-06-01,21.25,Ryan  Dunlap,78837002,Cesar A White Sanders,Healthfirst 65 Plus Plan (HMO),Healthfirst
2024-06-01,10.42,Kristen  Haynes,42957142,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Kristen  Haynes,42957142,Laurie Lee,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,21.25,Derek A Mata,72231009,Thomas Smith,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Derek A Mata,72231009,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Kristen  Blake,87767212,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Kristen  Blake,87767212,Pamela Friedman,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Kristen  Ramirez,56175873,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Kristen  Ramirez,56175873,Pamela Friedman,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Kristen  Taylor,70826508,Tracy g Perez DBA Miller PLC,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Kristen  Taylor,70826508,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Kristen A Cole,29227108,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Kristen A Cole,29227108,Pamela Friedman,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Kristen F Anderson,80635593,Austin Santos,Healthfirst CompleteCare (HMO SNP),Healthfirst
2024-06-01,10.42,Kristen F Anderson,80635593,Delta Care Corporation,Healthfirst CompleteCare (HMO SNP),Healthfirst
2024-06-01,10.42,Kristen G Woods,37051084,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Kristen G Woods,37051084,Campbell H Washington,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Kristen H Dixon,97739680,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Kristen H Dixon,97739680,Javier Meyers,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Kristen H Green,91842390,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Kristen H Green,91842390,Laurie Lee,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Kristen H Davis,92769034,Megan Ramos,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Kristen H Davis,92769034,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Kristen W Dixon,67889435,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Kristen W Dixon,67889435,Pamela Friedman,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Jessica A Fuller,85720520,Delta Care Corporation,Healthfirst Increased Benefits Plan (HMO),Healthfirst
2024-06-01,25.5,Jessica A Fuller,85720520,Laurie Lee,Healthfirst Increased Benefits Plan (HMO),Healthfirst
2024-06-01,25.5,Ashley  Barnes,33318754,Tracy g Perez DBA Miller PLC,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Ashley  Barnes,33318754,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Amber R Williamson,47699459,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Amber R Williamson,47699459,Javier Meyers,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,102.08,Amber Kelley,46359999,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,178.5,Amber Kelley,46359999,Pamela Friedman,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Michele  Boyle,24311514,Delta Care Corporation,Healthfirst Increased Benefits Plan (HMO),Healthfirst
2024-06-01,25.5,Michele  Boyle,24311514,Kathy Jones,Healthfirst Increased Benefits Plan (HMO),Healthfirst
2024-06-01,21.25,Anne  Martinez,43701056,Thomas Smith,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
